2021-04-29,Mozambique,0.041,NULL
2021-04-29,Russia,2.52,5.05
2021-04-29,Kenya,0.391,NULL
2021-04-29,Ukraine,8.382,0
2021-04-29,Marshall Islands,0,NULL
2021-04-29,Iran,5.077,0.24
2021-04-29,Somalia,0.216,NULL
2021-04-29,Thailand,0.145,0.48
2021-04-29,Sudan,0.16,NULL
2021-04-29,Malta,0.647,23.92
2021-04-29,Libya,1.809,NULL
2021-04-29,Panama,0.96,4.41
2021-04-29,Morocco,0.17,NULL
2021-04-29,Tanzania,0,NULL
2021-04-29,Vatican,0,NULL
2021-04-29,Nigeria,0.001,NULL
2021-04-29,Kazakhstan,0.228,NULL
2021-04-29,Saudi Arabia,0.316,NULL
2021-04-29,Romania,7.634,9.91
2021-04-29,Uganda,0.003,NULL
2021-04-29,Solomon Islands,0,NULL
2021-04-29,Slovenia,3.848,9.23
2021-04-29,Jordan,4.578,2.16
2021-04-29,Niger,0,NULL
2021-04-29,Sri Lanka,0.18,0.03
2021-04-29,Sao Tome and Principe,0,NULL
2021-04-29,Indonesia,0.607,2.77
2021-04-29,Mali,0.176,NULL
2021-04-29,Liberia,0,NULL
2021-04-29,Palestine,3.248,NULL
2021-04-29,Montenegro,9.326,3.3
2021-04-29,Qatar,2.132,19.26
2021-04-29,Lesotho,0,NULL
2021-04-29,Tajikistan,0,NULL
2021-04-29,Vanuatu,0,NULL
2021-04-29,Uzbekistan,0.03,NULL
2021-04-29,Zimbabwe,0.115,0.52
2021-04-29,Pakistan,0.627,NULL
2021-04-29,India,2.216,1.84
2021-04-29,Slovakia,7.588,8.95
2021-04-29,Nicaragua,0.022,NULL
2021-04-29,Turkey,4.079,10.58
2021-04-29,Maldives,0.529,18.75
2021-04-29,Portugal,0.252,8.47
2021-04-29,San Marino,8.419,25.64
2021-04-29,Spain,1.784,10.03
2021-04-29,Zambia,0.078,NULL
2021-04-29,Japan,0.431,0.79
2021-04-29,Mongolia,2.135,9.98
2021-04-29,Greece,7.223,9.06
2021-04-29,Greenland,NULL,9.29
2021-04-29,Costa Rica,2.58,NULL
2021-04-29,Dominican Republic,0.395,7.3
2021-04-29,Bhutan,0,NULL
2021-04-29,Comoros,0,NULL
2021-04-29,Bulgaria,15.42,2.99
2021-04-29,Curacao,NULL,13.57
2021-04-29,Cuba,0.921,NULL
2021-04-29,Guinea,0.054,0.36
2021-04-29,Ecuador,4.753,NULL
2021-04-29,Andorra,3.698,NULL
2021-04-29,Bangladesh,0.531,1.7
2021-04-29,Ethiopia,0.201,NULL
2021-04-29,Burundi,0,NULL
2021-04-29,China,0,NULL
2021-04-29,Antigua and Barbuda,1.459,NULL
2021-04-29,Egypt,0.508,NULL
2021-04-29,Eswatini,0,NULL
2021-04-29,Aruba,NULL,20.37
2021-04-29,Armenia,5.689,NULL
2021-04-29,Gabon,0.128,NULL
2021-04-29,Bosnia and Herzegovina,15.153,NULL
2021-04-29,Belize,1.078,NULL
2021-04-29,Canada,1.344,2.87
2021-04-29,Central African Republic,0.089,NULL
2021-04-29,El Salvador,0.683,1.05
2021-04-29,Denmark,0.395,11.16
2021-04-29,Cote d'Ivoire,0.049,NULL
2021-04-29,Georgia,4.082,NULL
2021-04-29,Lebanon,4.019,2.46
